EMOTION AND GAZE REPORT #1
==================================================

EMOTIONAL TIMELINE:
21:13:35.620 (17.9s): sad (70.0%)
21:13:35.651 (18.0s): sad (70.0%)
21:13:35.686 (18.0s): sad (70.0%)
21:13:35.717 (18.0s): sad (70.0%)
21:13:35.746 (18.1s): sad (70.0%)
21:13:35.778 (18.1s): sad (70.0%)
21:13:35.813 (18.1s): sad (70.0%)
21:13:35.843 (18.2s): sad (70.0%)
21:13:35.888 (18.2s): sad (70.0%)
21:13:35.920 (18.2s): sad (70.0%)
21:13:35.972 (18.3s): sad (70.0%)
21:13:35.998 (18.3s): sad (70.0%)
21:13:36.029 (18.3s): sad (70.0%)
21:13:36.061 (18.4s): sad (70.0%)
21:13:36.092 (18.4s): sad (70.0%)
21:13:36.123 (18.4s): sad (70.0%)
21:13:36.155 (18.5s): sad (70.0%)
21:13:36.187 (18.5s): sad (70.0%)
21:13:36.211 (18.5s): sad (70.0%)
21:13:36.250 (18.6s): sad (70.0%)
21:13:36.291 (18.6s): sad (70.0%)
21:13:36.329 (18.6s): sad (70.0%)
21:13:36.360 (18.7s): sad (70.0%)
21:13:36.390 (18.7s): sad (70.0%)
21:13:36.421 (18.7s): sad (70.0%)
21:13:36.454 (18.8s): sad (70.0%)
21:13:36.485 (18.8s): sad (70.0%)
21:13:36.516 (18.8s): sad (70.0%)
21:13:36.547 (18.9s): sad (70.0%)
21:13:36.581 (18.9s): sad (70.0%)
21:13:36.609 (18.9s): sad (70.0%)
21:13:36.642 (19.0s): sad (70.0%)
21:13:36.691 (19.0s): sad (70.0%)
21:13:36.721 (19.0s): sad (70.0%)
21:13:36.772 (19.1s): sad (70.0%)
21:13:36.798 (19.1s): sad (70.0%)
21:13:36.830 (19.1s): sad (70.0%)
21:13:36.861 (19.2s): sad (70.0%)
21:13:36.893 (19.2s): sad (70.0%)
21:13:36.915 (19.2s): sad (70.0%)
21:13:36.954 (19.3s): sad (70.0%)
21:13:36.986 (19.3s): sad (70.0%)
21:13:37.017 (19.3s): sad (70.0%)
21:13:37.050 (19.4s): sad (70.0%)
21:13:37.091 (19.4s): sad (70.0%)
21:13:37.121 (19.4s): sad (70.0%)
21:13:37.168 (19.5s): sad (70.0%)
21:13:37.193 (19.5s): sad (70.0%)
21:13:37.224 (19.5s): sad (70.0%)
21:13:37.253 (19.6s): sad (70.0%)
21:13:37.287 (19.6s): surprise (75.0%)
21:13:37.318 (19.6s): surprise (75.0%)
21:13:37.347 (19.7s): surprise (75.0%)
21:13:37.378 (19.7s): surprise (75.0%)
21:13:37.410 (19.7s): surprise (75.0%)
21:13:37.441 (19.8s): surprise (75.0%)
21:13:37.489 (19.8s): surprise (75.0%)
21:13:37.522 (19.8s): surprise (75.0%)
21:13:37.569 (19.9s): surprise (75.0%)
21:13:37.601 (19.9s): surprise (75.0%)
21:13:37.632 (19.9s): surprise (75.0%)
21:13:37.664 (20.0s): surprise (75.0%)
21:13:37.696 (20.0s): sad (70.0%)
21:13:37.726 (20.0s): sad (70.0%)
21:13:37.758 (20.1s): surprise (75.0%)
21:13:37.789 (20.1s): sad (70.0%)
